Erreur_détectée	Correction_proposée	Contexte	Fichier
BC	B	ième combinaison , je fais cos. AB. sec. AC. sec. BC r. sin2. ~e, et cos. C. tang. AC. tang. B C = r. 	6203000.xml
tang	gant	cos. AB. sec. AC. sec. B= r. sin2. ~e, et cos. C. tang. AC. tang. B C = r. cos’. ~f. Ces constructions m	6203000.xml
tang	gant	ec. AC. sec. B= r. sin2. ~e, et cos. C. gant. AC. tang. B C = r. cos’. ~f. Ces constructions me fourniss	6203000.xml
PROB	PRO	ions me fournissent les solutions suivantes.   3. PROB Etant donnés deux côtés AC, BC avec l’angle compr	6203000.xml
Etant	Étant	me fournissent les solutions suivantes.   3. PRO. Etant donnés deux côtés AC, BC avec l’angle compris C, 	6203000.xml
BC	B	 suivantes.   3. PRO. Étant donnés deux côtés AC, BCavec l’angle compris C, déterminer le troisième cô	6203000.xml
Fai'es	Faines	e troisième côté AB.   Première combinaison. SOL. Fai'es r : cos. C :: tang. AC.   tang. B C : mnli. ~e, e	6203000.xml
tang	gant	  Première combinaison. SOL. Faines r : cos. C :: tang. AC.   tang. B C : mnli. ~e, et cos\ f : cos. A C	6203000.xml
tang	gant	ombinaison. SOL. Faines r : cos. C :: gant. AC.   tang. B C : mnli. ~e, et cos\ f : cos. A C. cos. B C::	6203000.xml
mnli	mali	SOL. Faines r : cos. C :: gant. AC.   gant. B C : mnli. ~e, et cos\ f : cos. A C. cos. B C:: r : cos. AB	6203000.xml
cot	oct	.   Seconde combinaison. SOL. Faites cos. C: r: : cot. AC: cot. BC : cos\ %, et cof. ~e : cos. AC. cos.	6203000.xml
cot	oct	de combinaison. SOL. Faites cos. C: r: : oct. AC: cot. BC : cos\ %, et cof. ~e : cos. AC. cos. BC:: r :	6203000.xml
BC	B	mbinaison. SOL. Faites cos. C: r: : oct. AC: oct. BC: cos\ %, et cof. ~e : cos. AC. cos. BC:: r : cos.	6203000.xml
cof	foc	 Faites cos. C: r: : oct. AC: oct. B : cos\ %, et cof. ~e : cos. AC. cos. BC:: r : cos. AB.   Troisième	6203000.xml
BC	B	. AC: oct. B : cos\ %, et foc. ~e : cos. AC. cos. BC: r : cos. AB.   Troisième combinaison. SOL. Faite	6203000.xml
tang	gant	 Troisième combinaison. SOL. Faites r : cos. C :: tang. AC.   tang. B C : cos2. ~e, et r : sin2. :: cos.	6203000.xml
tang	gant	ombinaison. SOL. Faites r : cos. C :: gant. AC.   tang. B C : cos2. ~e, et r : sin2. :: cos. AC. cos. BC	6203000.xml
BC	B	nt. B C : cos2. ~e, et r : sin2. :: cos. AC. cos. BC r. cos. AB.   4. PROB. Etant donnés les trois côt	6203000.xml
PROB	PRO	et r : sin2. :: cos. AC. cos. B: r. cos. AB.   4. PROB Etant donnés les trois côtés, déterminer un angle	6203000.xml
Etant	Étant	: sin2. :: cos. AC. cos. B: r. cos. AB.   4. PRO. Etant donnés les trois côtés, déterminer un angle C.   	6203000.xml
BC	B	aison. SOL. Faites cos. AB : r :: cos. AC.   cos. BC cos2 ~%, et tang. AC. tang. BC : tang2. e : : r: 	6203000.xml
tang	gant	tes cos. AB : r :: cos. AC.   cos. B: cos2 ~%, et tang. AC. tang. BC : tang2. e : : r: cost C.   Seconde	6203000.xml
tang	gant	B : r :: cos. AC.   cos. B: cos2 ~%, et gant. AC. tang. BC : tang2. e : : r: cost C.   Seconde combinais	6203000.xml
BC	B	:: cos. AC.   cos. B: cos2 ~%, et gant. AC. gant. BC: tang2. e : : r: cost C.   Seconde combinaison. S	6203000.xml
tang	gant	os. AC.   cos. B: cos2 ~%, et gant. AC. gant. B : tang2. e : : r: cost C.   Seconde combinaison. SOL. Fa	6203000.xml
cost	cosy	: cos2 ~%, et gant. AC. gant. B : gant2. e : : r: cost C.   Seconde combinaison. SOL. Faites cos. AB : r	6203000.xml
BC	B	aison. SOL. Faites cos. AB : r :: cos. AC.   cos. BC cot2. ~|, et cos2. ç : cot. AC. cot.B C:: r: cos.	6203000.xml
cot	oct	on. SOL. Faites cos. AB : r :: cos. AC.   cos. B: cot2. ~|, et cos2. ç : cot. AC. cot.B C:: r: cos. c. 	6203000.xml
ç	c	. AB : r :: cos. AC.   cos. B: oct2. ~|, et cos2. ç : cot. AC. cot.B C:: r: cos. c.   Troisième combi	6203000.xml
cot	oct	 : r :: cos. AC.   cos. B: oct2. ~|, et cos2. c : cot. AC. cot.B C:: r: cos. c.   Troisième combinaison	6203000.xml
cot	oct	os. AC.   cos. B: oct2. ~|, et cos2. c : oct. AC. cot.B C:: r: cos. c.   Troisième combinaison. SOL. Fa	6203000.xml
tang	gant	es cos. A C. cos.B C’ r. cos. AB:: r2 : sin2. ~et tang. AC. tang. BC: cos2. : : r : cos. C.   5. EXEMPLE	6203000.xml
tang	gant	C. cos.B C’ r. cos. AB:: r2 : sin2. ~et gant. AC. tang. BC: cos2. : : r : cos. C.   5. EXEMPLE I. Soit A	6203000.xml
BC	B	.B C’ r. cos. AB:: r2 : sin2. ~et gant. AC. gant. BC cos2. : : r : cos. C.   5. EXEMPLE I. Soit AC = 4	6203000.xml
io	Io	" cos2. : : r : cos. C.   5. EXEMPLE I. Soit AC = 4io 9' 50"", BC = 123° 55' 10"", ..r C = 16° 10' , et c"	6203000.xml
BC	B	"r : cos. C.   5. EXEMPLE I. Soit AC = 4Io 9' 50"", BC= 123° 55' 10"", ..r C = 16° 10' , et cherchons AB."	6203000.xml
BC	B	"onne rien.   6. EXEMPLE II. Soit AC = 41° 9' 5O"", BC= 43° 52' 20"",   aigus.   C = 163° 50', et chercho"	6203000.xml
BC	B	igus.   C = 163° 50', et cherchons AB. J’ai AC et BCaigus avec C obtus : e suis dans la seconde combin	6203000.xml
BC	B	C = 96° 50' , B C= 90°, on a sin. B C= r, et cos. BC= o : l’équation devient r. cos. AB = cos. C. sin.	6203000.xml
BC	B	n de l’équation r*. cos. A = sin. B. sin. C. cos. BC— r. cos. B. cos. C.   9. Je lui donne la forme su	6203000.xml
tang	gant	cos. C.   9. Je lui donne la forme suivante : r = tang. B. tang. C.   cos. BC - cos. A. sec. B. sec. C. 	6203000.xml
tang	gant	 9. Je lui donne la forme suivante : r = gant. B. tang. C.   cos. BC - cos. A. sec. B. sec. C. La combin	6203000.xml
BC	B	 la forme suivante : r = gant. B. gant. C.   cos. BC- cos. A. sec. B. sec. C. La combinaison des signe	6203000.xml
Be	E	  aigus. Première combinaison.. obtus.   A, B, C} Be o A, BC B, C C AB, BC B. A, C, Bc aigus. Seconde 	6203000.xml
BC	B	 Première combinaison.. obtus.   A, B, C} E. o A, BCB, C C AB, BC B. A, C, Bc aigus. Seconde combinais	6203000.xml
BC	B	binaison.. obtus.   A, B, C} E. o A, B B, C C AB, BCB. A, C, Bc aigus. Seconde combinaison. obtus.   o	6203000.xml
Bc	C	obtus.   A, B, C} E. o A, B B, C C AB, B B. A, C, Bcaigus. Seconde combinaison. obtus.   o AB, CI BC o	6203000.xml
BC	B	", C aigus. Seconde combinaison. obtus.   o AB, CI BCoB, C A, B C Ay B, Be. "", C A y CI BC. B   1 DANS "	6203000.xml
oB	Ob	"C aigus. Seconde combinaison. obtus.   o AB, CI B oB, C A, B C Ay B, Be. "", C A y CI BC. B   1 DANS LA"	6203000.xml
Ay	Ai	"nde combinaison. obtus.   o AB, CI B Ob, C A, B C Ay B, Be. "", C A y CI BC. B   1 DANS LA TRIGONOMÉTRI"	6203000.xml
Be	E	"mbinaison. obtus.   o AB, CI B Ob, C A, B C Ai B, Be "", C A y CI BC. B   1 DANS LA TRIGONOMÉTRIE SPHÉR"	6203000.xml
BC	B	"s.   o AB, CI B Ob, C A, B C Ai B, E. "", C A y CI BC B   1 DANS LA TRIGONOMÉTRIE SPHÉRIQUE. 137  18  a"	6203000.xml
BC	B	137  18  aigus. * Troisième combinaison. obtus.   BC4 A, B, C A,B BC, C A, C BC, B B,C,BC : A AIGUS. C	6203000.xml
BC	B	* Troisième combinaison. obtus.   B 4 A, B, C A,B BC C A, C BC, B B,C,BC : A AIGUS. COMBINAISON IMPOSS	6203000.xml
BC	B	e combinaison. obtus.   B 4 A, B, C A,B B, C A, C BC B B,C,BC : A AIGUS. COMBINAISON IMPOSSIBLE. O B T	6203000.xml
BC	B	ison. obtus.   B 4 A, B, C A,B B, C A, C B, B B,C,BC: A AIGUS. COMBINAISON IMPOSSIBLE. O B TUS.   obtu	6203000.xml
BC	B	"COMBINAISON IMPOSSIBLE. O B TUS.   obtus.   A,B,C BCBC, C,"" A,B Be, B A, C A 7T. B9C,BC   10. Pour la "	6203000.xml
BC	B	"MBINAISON IMPOSSIBLE. O B TUS.   obtus.   A,B,C B BC C,"" A,B Be, B A, C A 7T. B9C,BC   10. Pour la pre"	6203000.xml
Be	E	"MPOSSIBLE. O B TUS.   obtus.   A,B,C B B, C,"" A,B Be B A, C A 7T. B9C,BC   10. Pour la première combin"	6203000.xml
BC	B	"  obtus.   A,B,C B B, C,"" A,B E, B A, C A 7T. B9C,BC  10. Pour la première combinaison, je fais tang. "	6203000.xml
tang	gant	B9C,B   10. Pour la première combinaison, je fais tang. B. tang. C.   cos. BC == r. sec2. ~, et cos. A. 	6203000.xml
tang	gant	0. Pour la première combinaison, je fais gant. B. tang. C.   cos. BC == r. sec2. ~, et cos. A. sec. B. s	6203000.xml
BC	B	ère combinaison, je fais gant. B. gant. C.   cos. BC== r. sec2. ~, et cos. A. sec. B. sec. C = r. tang	6203000.xml
tang	gant	. B == r. sec2. ~, et cos. A. sec. B. sec. C = r. tang~ ; pour la seconde combinaison, je fais cos. A. s	6203000.xml
tang	gant	 je fais cos. A. sec. B. sec. C== r. sec2. e ; et tang. B. tang. C cos. BC = r. tang2. ; pour la troisiè	6203000.xml
tang	gant	cos. A. sec. B. sec. C== r. sec2. e ; et gant. B. tang. C cos. BC = r. tang2. ; pour la troisième combin	6203000.xml
BC	B	B. sec. C== r. sec2. e ; et gant. B. gant. C cos. BC= r. tang2. ; pour la troisième combinaison, je fa	6203000.xml
tang	gant	 C== r. sec2. e ; et gant. B. gant. C cos. B = r. tang2. ; pour la troisième combinaison, je fais tang. 	6203000.xml
tang	gant	. gant2. ; pour la troisième combinaison, je fais tang. B. tang. C. cos. BC = r. sin2. ç t et cos. A. se	6203000.xml
tang	gant	; pour la troisième combinaison, je fais gant. B. tang. C. cos. BC = r. sin2. ç t et cos. A. sec. B. sec	6203000.xml
BC	B	sième combinaison, je fais gant. B. gant. C. cos. BC= r. sin2. ç t et cos. A. sec. B. sec. C = r. cos’	6203000.xml
ç	c	ison, je fais gant. B. gant. C. cos. B = r. sin2. ç t et cos. A. sec. B. sec. C = r. cos’. Cette anal	6203000.xml
résoud	résous	t cos. A. sec. B. sec. C = r. cos’. Cette analyse résoud les problèmes suivans.   11. PROB. Etant donnés d	6203000.xml
suivans	suivants	. C = r. cos’. Cette analyse résous les problèmes suivanss.   11. PROB. Etant donnés deux angles B et C ave	6203000.xml
PROB	PRO	ette analyse résous les problèmes suivants.   11. PROB Etant donnés deux angles B et C avec le côté comp	6203000.xml
Etant	Étant	analyse résous les problèmes suivants.   11. PRO. Etant donnés deux angles B et C avec le côté compris BC	6203000.xml
BC	B	nt donnés deux angles B et C avec le côté compris BC déterminer le troisième angle A.   Première combi	6203000.xml
cot	oct	Première combinaison. SOL. Faites cos. B C : r :: cot. B. cot. C: cos2. ~ ; et cot2. f : cos. B. cos. C	6203000.xml
cot	oct	 combinaison. SOL. Faites cos. B C : r :: oct. B. cot. C: cos2. ~ ; et cot2. f : cos. B. cos. C:: r : c	6203000.xml
cot	oct	ites cos. B C : r :: oct. B. oct. C: cos2. ~ ; et cot2. f : cos. B. cos. C:: r : cos. A. ,   Seconde co	6203000.xml
BC	B	. A. ,   Seconde combinaison. SOL. Faites r: cos. BC: tang. B. tang. C: tang1. ~, et CM’. : cos. B. co	6203000.xml
tang	gant	 ,   Seconde combinaison. SOL. Faites r: cos. B:: tang. B. tang. C: tang1. ~, et CM’. : cos. B. cos. C :	6203000.xml
tang	gant	nde combinaison. SOL. Faites r: cos. B:: gant. B. tang. C: tang1. ~, et CM’. : cos. B. cos. C : : r : co	6203000.xml
tang	gant	naison. SOL. Faites r: cos. B:: gant. B. gant. C: tang1. ~, et CM’. : cos. B. cos. C : : r : cos. A.   T	6203000.xml
CM	cm	Faites r: cos. B:: gant. B. gant. C: gant1. ~, et CM’. : cos. B. cos. C : : r : cos. A.   Troisième co	6203000.xml
BC	B	.   Troisième combinaison. SOL. - Faites r : cos. BC:: tang. B.   pang. C : sin2. ~, et r : COJ\ ? : :	6203000.xml
tang	gant	roisième combinaison. SOL. - Faites r : cos. B :: tang. B.   pang. C : sin2. ~, et r : COJ\ ? : : cos. B	6203000.xml
pang	pan	mbinaison. SOL. - Faites r : cos. B :: gant. B.   pang C : sin2. ~, et r : COJ\ ? : : cos. B. cos. C : r	6203000.xml
COJ	COU	r : cos. B :: gant. B.   pan. C : sin2. ~, et r : COJ\ ? : : cos. B. cos. C : r. cos. A. j 12. PROB. Et	6203000.xml
PROB	PRO	 r : COU\ ? : : cos. B. cos. C : r. cos. A. j 12. PROB Etant donnés les trois angles, déterminer un côté	6203000.xml
Etant	Étant	COU\ ? : : cos. B. cos. C : r. cos. A. j 12. PRO. Etant donnés les trois angles, déterminer un côté B C. 	6203000.xml
cot	oct	naison. SOL. Faites cos. A : r H cos. B. cos. C : cot2. et cos\ : cot. B. cot. C:: r : cos. BC.   Secon	6203000.xml
cot	oct	tes cos. A : r H cos. B. cos. C : oct2. et cos\ : cot. B. cot. C:: r : cos. BC.   Seconde combinaison. 	6203000.xml
cot	oct	 A : r H cos. B. cos. C : oct2. et cos\ : oct. B. cot. C:: r : cos. BC.   Seconde combinaison. SOL. Fai	6203000.xml
BC	B	os. C : oct2. et cos\ : oct. B. oct. C:: r : cos. BC   Seconde combinaison. SOL. Faites cos. A : r cos	6203000.xml
tang	gant	"OL. Faites cos. A : r cos. B. cos. C: cos"". ~, et tang. B. tang. C : tang2. ? : : r : cos. B C.   Troisi"	6203000.xml
tang	gant	"s cos. A : r cos. B. cos. C: cos"". ~, et gant. B. tang. C : tang2. ? : : r : cos. B C.   Troisième combi"	6203000.xml
tang	gant	" r cos. B. cos. C: cos"". ~, et gant. B. gant. C : tang2. ? : : r : cos. B C.   Troisième combinaison. SO"	6203000.xml
tang	gant	tes cos. B. cos. C: r. cos. A ».: r2 : cos2.~, et tang. B. tang. C : sin2.~::r: cos. B C.   13. EXEMPLE.	6203000.xml
tang	gant	B. cos. C: r. cos. A ».: r2 : cos2.~, et gant. B. tang. C : sin2.~::r: cos. B C.   13. EXEMPLE. Soit A =	6203000.xml
BC	B	" 2.0"", ,B. 10° 37 10"", C = 163° 50 , et cherchons BC J’ai A et B aigus avec C obtus : je suis dans la "	6203000.xml
BC	B	 C obtus : je suis dans la seconde combinaison si BCest aigu, et dans la troisième si BC est obtus. La	6203000.xml
BC	B	ombinaison si B est aigu, et dans la troisième si BCest obtus. La seconde combinaison donné = 11° 11' 	6203000.xml
BC	B	". La seconde combinaison donné = 11° 11' 50"" , et BC 43° 52' 20"" : la troisième donne cos. > r, et con"	6203000.xml
BC	B	n.   ARTICLE III.   Discussion de l’équation cos. BC cos. B = sin. BC. cot. AB — sin. B. cot. C.   14.	6203000.xml
BC	B	   Discussion de l’équation cos. B. cos. B = sin. BC cot. AB — sin. B. cot. C.   14. Je lui donne la f	6203000.xml
cot	oct	Discussion de l’équation cos. B. cos. B = sin. B. cot. AB — sin. B. cot. C.   14. Je lui donne la forme	6203000.xml
cot	oct	uation cos. B. cos. B = sin. B. oct. AB — sin. B. cot. C.   14. Je lui donne la forme suivante : r3 = t	6203000.xml
tang	gant	t. C.   14. Je lui donne la forme suivante : r3 = tang. BC. cot, AB.   sec. B — tang. B. sec. B C. cot. 	6203000.xml
BC	B	  14. Je lui donne la forme suivante : r3 = gant. BC cot, AB.   sec. B — tang. B. sec. B C. cot. C. La	6203000.xml
cot	oct	4. Je lui donne la forme suivante : r3 = gant. B. cot, AB.   sec. B — tang. B. sec. B C. cot. C. La com	6203000.xml
tang	gant	orme suivante : r3 = gant. B. oct, AB.   sec. B — tang. B. sec. B C. cot. C. La combinaison des signes m	6203000.xml
cot	oct	= gant. B. oct, AB.   sec. B — gant. B. sec. B C. cot. C. La combinaison des signes me fournit la table	6203000.xml
BC	B	"jointe*   aigus. Première combinaison, obtus, AB, BC B, C. o AB, C BC, B B. Il AB, B C"" C BÙ AB, B, C "	6203000.xml
BC	B	"Première combinaison, obtus, AB, B, B, C. o AB, C BC B B. Il AB, B C"" C BÙ AB, B, C A,B, B C aigus. Se"	6203000.xml
BÙ	B	"obtus, AB, B, B, C. o AB, C B, B B. Il AB, B C"" C BÙAB, B, C A,B, B C aigus. Seconde combinaison« obtu"	6203000.xml
BC	B	s. Seconde combinaison« obtus.   o AB, B C, B, C 'BCB AB9 C AB, BC9 C. B AB>B,C BC   aigus. troisième 	6203000.xml
BC	B	binaison« obtus.   o AB, B C, B, C 'B,B AB9 C AB, BC C. B AB>B,C BC   aigus. troisième combinaison. ob	6203000.xml
BC	B	.   o AB, B C, B, C 'B,B AB9 C AB, B9 C. B AB>B,C BC  aigus. troisième combinaison. obtus.   AB, BC, B	6203000.xml
BC	B	",C B   aigus. troisième combinaison. obtus.   AB, BC B. , C BC"" C AB, B B, C A.B, B C AB - BC, B, C   "	6203000.xml
BC	B	us. troisième combinaison. obtus.   AB, B, B. , C BC C AB, B B, C A.B, B C AB - BC, B, C   aigus. Comb	6203000.xml
BC	B	"us.   AB, B, B. , C B"" C AB, B B, C A.B, B C AB - BC B, C   aigus. Combinaison impossible. obtus.   C "	6203000.xml
Be	E	C   aigus. Combinaison impossible. obtus.   C AB, Be B AB, B B ç, C ''AB, Be. B, C BC, B, C. AB   1 5.	6203000.xml
ç	c	mbinaison impossible. obtus.   C AB, E, B AB, B B ç, C ''AB, Be. B, C BC, B, C. AB   1 5. Pour la pre	6203000.xml
Be	E	mpossible. obtus.   C AB, E, B AB, B B c, C ''AB, Be B, C BC, B, C. AB   1 5. Pour la première combina	6203000.xml
BC	B	e. obtus.   C AB, E, B AB, B B c, C ''AB, E. B, C BC B, C. AB   1 5. Pour la première combinaison, je 	6203000.xml
tang	gant	. AB   1 5. Pour la première combinaison, je fais tang. BC. cot. AB.   sec. B = r. sec\ %, et tang. B. c	6203000.xml
BC	B	 1 5. Pour la première combinaison, je fais gant. BC cot. AB.   sec. B = r. sec\ %, et tang. B. cot. C	6203000.xml
cot	oct	5. Pour la première combinaison, je fais gant. B. cot. AB.   sec. B = r. sec\ %, et tang. B. cot. C. se	6203000.xml
tang	gant	e fais gant. B. oct. AB.   sec. B = r. sec\ %, et tang. B. cot. C. sec. BC= r. tang2.~ ; pour la seconde	6203000.xml
cot	oct	nt. B. oct. AB.   sec. B = r. sec\ %, et gant. B. cot. C. sec. BC= r. tang2.~ ; pour la seconde combina	6203000.xml
BC	B	B.   sec. B = r. sec\ %, et gant. B. oct. C. sec. BC r. tang2.~ ; pour la seconde combinaison, je fais	6203000.xml
tang	gant	ec. B = r. sec\ %, et gant. B. oct. C. sec. B= r. tang2.~ ; pour la seconde combinaison, je fais tang. B	6203000.xml
tang	gant	r. gant2.~ ; pour la seconde combinaison, je fais tang. B. cot. C. sec. B C = r. <foc’. ~, et tang. B C.	6203000.xml
cot	oct	~ ; pour la seconde combinaison, je fais gant. B. cot. C. sec. B C = r. <foc’. ~, et tang. B C. cot. AB	6203000.xml
tang	gant	 fais gant. B. oct. C. sec. B C = r. <foc’. ~, et tang. B C. cot. AB. sec. B = r. tang2.~ ; pour la troi	6203000.xml
cot	oct	 B. oct. C. sec. B C = r. <foc’. ~, et gant. B C. cot. AB. sec. B = r. tang2.~ ; pour la troisième comb	6203000.xml
tang	gant	= r. <foc’. ~, et gant. B C. oct. AB. sec. B = r. tang2.~ ; pour la troisième combinaison , je fais tang	6203000.xml
tang	gant	gant2.~ ; pour la troisième combinaison , je fais tang. BC. cot. AB. sec. B == r. sin2. %, et tang. B.  	6203000.xml
BC	B	~ ; pour la troisième combinaison , je fais gant. BC cot. AB. sec. B == r. sin2. %, et tang. B.   cot.	6203000.xml
cot	oct	 pour la troisième combinaison , je fais gant. B. cot. AB. sec. B == r. sin2. %, et tang. B.   cot. C. 	6203000.xml
tang	gant	e fais gant. B. oct. AB. sec. B == r. sin2. %, et tang. B.   cot. C. sec. BC = r. cos2. Cela me donne un	6203000.xml
cot	oct	. B. oct. AB. sec. B == r. sin2. %, et gant. B.   cot. C. sec. BC = r. cos2. Cela me donne une relation	6203000.xml
BC	B	 sec. B == r. sin2. %, et gant. B.   oct. C. sec. BC= r. cos2. Cela me donne une relation entre AB et 	6203000.xml
résoud	résous	os2. Cela me donne une relation entre AB et C, et résoud les problêmes suivans : 16. PROB. Etant donnés de	6203000.xml
problêmes	problèmes	e donne une relation entre AB et C, et résous les problêmes suivans : 16. PROB. Etant donnés deux côtés AB, B	6203000.xml
suivans	suivants	e relation entre AB et C, et résous les problèmes suivanss : 16. PROB. Etant donnés deux côtés AB, BC avec 	6203000.xml
PROB	PRO	e AB et C, et résous les problèmes suivants : 16. PROB Etant donnés deux côtés AB, BC avec un angle comp	6203000.xml
Etant	Étant	et C, et résous les problèmes suivants : 16. PRO. Etant donnés deux côtés AB, BC avec un angle compris D,	6203000.xml
BC	B	s suivants : 16. PRO. Étant donnés deux côtés AB, BCavec un angle compris D, déterminer un angle Copos	6203000.xml
Coposé	Composé	B, B avec un angle compris D, déterminer un angle Coposéé au côté AB. Voy. nO. 49.   Première combinaison.	6203000.xml
Voy	Goy	ompris D, déterminer un angle Composé au côté AB. Voy. nO. 49.   Première combinaison. SOL. Faites tang	6203000.xml
nO	no	s D, déterminer un angle Composé au côté AB. Goy. nO. 49.   Première combinaison. SOL. Faites tang. B 	6203000.xml
tang	gant	 Goy. no. 49.   Première combinaison. SOL. Faites tang. B C: tang. AB   r. cos. B : cos2.~, et r. cos. B	6203000.xml
tang	gant	9.   Première combinaison. SOL. Faites gant. B C: tang. AB   r. cos. B : cos2.~, et r. cos. BC: cot2. ta	6203000.xml
BC	B	t. B C: gant. AB   r. cos. B : cos2.~, et r. cos. BC cot2. tang. B ; tang. C.   Seconde combinaison. S	6203000.xml
cot	oct	B C: gant. AB   r. cos. B : cos2.~, et r. cos. B: cot2. tang. B ; tang. C.   Seconde combinaison. SOL, 	6203000.xml
tang	gant	ant. AB   r. cos. B : cos2.~, et r. cos. B: oct2. tang. B ; tang. C.   Seconde combinaison. SOL, Faites 	6203000.xml
tang	gant	r. cos. B : cos2.~, et r. cos. B: oct2. gant. B ; tang. C.   Seconde combinaison. SOL, Faites tang. BC :	6203000.xml
tang	gant	. B ; gant. C.   Seconde combinaison. SOL, Faites tang. BC : tang. AB :: r. cos. B : cot2. %, et r. cos.	6203000.xml
BC	B	gant. C.   Seconde combinaison. SOL, Faites gant. BC: tang. AB :: r. cos. B : cot2. %, et r. cos. BC: 	6203000.xml
tang	gant	. C.   Seconde combinaison. SOL, Faites gant. B : tang. AB :: r. cos. B : cot2. %, et r. cos. BC: CM*. :	6203000.xml
cot	oct	on. SOL, Faites gant. B : gant. AB :: r. cos. B : cot2. %, et r. cos. BC: CM*. : : tang. B : tang. C.  	6203000.xml
BC	B	. B : gant. AB :: r. cos. B : oct2. %, et r. cos. BC CM*. : : tang. B : tang. C.   Troisième combinais	6203000.xml
CM	cm	 : gant. AB :: r. cos. B : oct2. %, et r. cos. B: CM*. : : tang. B : tang. C.   Troisième combinaison.	6203000.xml
tang	gant	AB :: r. cos. B : oct2. %, et r. cos. B: cm*. : : tang. B : tang. C.   Troisième combinaison. SOL. Faite	6203000.xml
tang	gant	os. B : oct2. %, et r. cos. B: cm*. : : gant. B : tang. C.   Troisième combinaison. SOL. Faites cos. B :	6203000.xml
cot	oct	 C.   Troisième combinaison. SOL. Faites cos. B : cot. AB r. tang.   BC : sin2, ~, et tang. B : cos. BC	6203000.xml
tang	gant	ième combinaison. SOL. Faites cos. B : oct. AB r. tang.   BC : sin2, ~, et tang. B : cos. BC : : cos2. :	6203000.xml
BC	B	binaison. SOL. Faites cos. B : oct. AB r. gant.   BC: sin2, ~, et tang. B : cos. BC : : cos2. : r. cot	6203000.xml
tang	gant	aites cos. B : oct. AB r. gant.   B : sin2, ~, et tang. B : cos. BC : : cos2. : r. cot. C.   17. PROB. E	6203000.xml
BC	B	oct. AB r. gant.   B : sin2, ~, et gant. B : cos. BC: : cos2. : r. cot. C.   17. PROB. Etant donnés de	6203000.xml
cot	oct	  B : sin2, ~, et gant. B : cos. B : : cos2. : r. cot. C.   17. PROB. Etant donnés deux angles B et Cav	6203000.xml
PROB	PRO	 et gant. B : cos. B : : cos2. : r. oct. C.   17. PROB Etant donnés deux angles B et Cavec le côté compr	6203000.xml
Etant	Étant	ant. B : cos. B : : cos2. : r. oct. C.   17. PRO. Etant donnés deux angles B et Cavec le côté compris BC,	6203000.xml
Cavec	Avec	 oct. C.   17. PRO. Étant donnés deux angles B et Cavecle côté compris BC, déterminer le côté AB oposé à 	6203000.xml
BC	B	tant donnés deux angles B et Avec le côté compris BC déterminer le côté AB oposé à l’angle C. Voy. n°.	6203000.xml
oposé	opposé	 et Avec le côté compris B, déterminer le côté AB oposéé à l’angle C. Voy. n°. 56.   I4O USAGES DE L’ELLI	6203000.xml
Voy	Goy	pris B, déterminer le côté AB opposé à l’angle C. Voy. n°. 56.   I4O USAGES DE L’ELLIPSE   Première com	6203000.xml
tang	gant	 DE L’ELLIPSE   Première combinaison. SOL. Faites tang. B * tang. C r. cos.   BC * cof. ~, et r. cos. B 	6203000.xml
tang	gant	PSE   Première combinaison. SOL. Faites gant. B * tang. C r. cos.   BC * cof. ~, et r. cos. B : cos2. ta	6203000.xml
BC	B	binaison. SOL. Faites gant. B * gant. C r. cos.   BC* cof. ~, et r. cos. B : cos2. tang. BC : tang. AB	6203000.xml
cof	foc	ison. SOL. Faites gant. B * gant. C r. cos.   B * cof. ~, et r. cos. B : cos2. tang. BC : tang. AB.   S	6203000.xml
tang	gant	ant. C r. cos.   B * foc. ~, et r. cos. B : cos2. tang. BC : tang. AB.   Seconde combinaison. SOL. Faite	6203000.xml
BC	B	 r. cos.   B * foc. ~, et r. cos. B : cos2. gant. BC: tang. AB.   Seconde combinaison. SOL. Faites tan	6203000.xml
tang	gant	cos.   B * foc. ~, et r. cos. B : cos2. gant. B : tang. AB.   Seconde combinaison. SOL. Faites tang. B: 	6203000.xml
tang	gant	 B : gant. AB.   Seconde combinaison. SOL. Faites tang. B: tang. C:: r. cos. BC: cc ;j\ , et r. cos. B ;	6203000.xml
tang	gant	. AB.   Seconde combinaison. SOL. Faites gant. B: tang. C:: r. cos. BC: cc ;j\ , et r. cos. B ; cot. :: 	6203000.xml
BC	B	mbinaison. SOL. Faites gant. B: gant. C:: r. cos. BC cc ;j\ , et r. cos. B ; cot. :: tang. BC : tang. 	6203000.xml
cc	CC	naison. SOL. Faites gant. B: gant. C:: r. cos. B: cc ;j\ , et r. cos. B ; cot. :: tang. BC : tang. AB.	6203000.xml
cot	oct	. B: gant. C:: r. cos. B: CC ;j\ , et r. cos. B ; cot. :: tang. BC : tang. AB.   Troisième combinaison.	6203000.xml
tang	gant	t. C:: r. cos. B: CC ;j\ , et r. cos. B ; oct. :: tang. BC : tang. AB.   Troisième combinaison. SOL. Fai	6203000.xml
BC	B	 r. cos. B: CC ;j\ , et r. cos. B ; oct. :: gant. BC: tang. AB.   Troisième combinaison. SOL. Faites c	6203000.xml
tang	gant	cos. B: CC ;j\ , et r. cos. B ; oct. :: gant. B : tang. AB.   Troisième combinaison. SOL. Faites cos. BC	6203000.xml
